(QMiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run,,(MiniFeldspar),Haskell Compile,Haskell Run,C Compile,C Run
IPGray,11.40,0.00,0.08,0.42,,IPGray,6.22,0.00,0.08,0.45
IPBW,11.26,0.00,0.08,0.20,,IPBW,6.22,0.00,0.07,0.20
FFT,11.36,0.24,0.08,5.08,,FFT,6.15,0.47,0.13,No Data
CRC,11.29,0.01,0.08,0.15,,CRC,6.13,0.00,0.08,0.15
Windowing,11.19,0.01,0.08,0.31,,Windowing,6.21,0.01,0.08,0.33

(QMiniFeldspar + CSE),Haskell Compile,Haskell Run,C Compile,C Run,,(MiniFeldspar + CSE),Haskell Compile,Haskell Run,C Compile,C Run
IPGray,11.68,0.00,0.08,0.46,,IPGray,6.55,0.00,0.07,0.47
IPBW,11.72,0.00,0.08,0.20,,IPBW,6.55,0.00,0.07,0.20
FFT,11.75,0.24,0.09,5.28,,FFT,6.65,0.16,0.09,6.15
CRC,11.59,0.01,0.08,0.14,,CRC,6.49,0.00,0.08,0.15
Windowing,11.73,0.01,0.08,0.33,,Windowing,6.51,0.00,0.08,0.33
